FOLIO,EMPRESA,PUESTO,DIA,MES,ANIO,HORA,MIN,ACTP,SECTOR,FUN1,FUN2,FUN3,CAR1,CAR2,CAR3,PERIODICO,INTERNET,EMP,BOLSA,RECOM,EDAD,EDAD2,GENERO,GENERO2,VIAJA,EST,PASAN,LIC,POS,HORAEST,PROM,PROM2,DOMINIO,IT,ILE,IH,FT,FLE,FH,AT,ALE,AH,OTRO,OT,OLE,OH,EXP,EXPA,CARTA,EXAMED,EXAPSI,EXATEC,PREFE,INST1,INST2,INST3,COMU,EQUI,LIDER,CREA,PPER,TRAP,COMP,DEMO,RIES,ECONO,FINAN,IEST,PROBA,IDEO,MER,MODMAT,ST,MENC,PENS,DANIO,SPER,SISD,OTR_1,OTRO1,OTR_2,OTRO2,OFF,PAQUE,PAQ1,PAQ2,LENG,LENG1,LENG2,LENG3,PROG,DISE,RED,MBD,TECEXP,CII,MT,CTO,DEFI_1,DEFI_2,DEFI_3,DEFI_4,CURTEC,CURIDEO,DIPMA,ESTPUES,OBS
12,BANSEFI SNC,SUBDIRECTOR,9,11,18,13,10,BANCA DE DESARROLLO,1,SUPERVICIÓN DE CARTERA CREDITICIA,DIFUNCIÓN DE INFORMES,CONTROL DOCUMENTAL,CONTADURÍA PÚBLICA,ECONOMIA,ACTUARIA, , ,X, , ,N, ,N, ,N,X, ,X, ,S,N, ,N, , , , , , , , , , , , , ,S,3,S,S,S,S,N, , , ,4,4,5,5,4,5,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2, , , , ,S,S,OFFICE, ,N, , , ,2,2,2,2,S,S,S,S, , , , ,S,N,S,S, 
13,BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS,SEBGERENTE,8,11,18,13,37,FINANCIERA,1,RECLUTAMIENTO,SELECCIÓN,COTRATACIÓN,PSICOLOGÍA,PEDAGODÍA,ADMINISTRACIÓN, ,X, ,X, ,N, ,N, ,N,X,X,X,X,S,N, ,N, , , , , , , , , , , , , ,S,1,S,S,S,S,N, , , ,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , ,S,S,BASES DE DATOS, ,S, , , ,3,2,2,3,S,S,S,S, , , , ,S,N,S,S, 
14,MAPFRE,RESPONSABLE DE SUSCRIPCIÓN AUTOS,9,11,18,15,0,SUSCRIPCIÓN / ANÁLISIS DE RIESGO,2,ANÁLISIS DE RIESGO,GENERACIÓN TARIFAS,ANÁLISIS DE RENTABILIDAD,ACTUARIA,ECONOMIA,ADMINISTRACIÓN, ,X, ,X,X,N, ,N, ,N, ,X, , ,S,N, ,N, , , , , , , , , , , , , ,N,0,N,N,S,N,N, , , ,4,5,3,3,4,4,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1, , , , ,S,N, , ,S,R, , ,1,1,1,2,N,S,S,N,ANÁLISIS,COMUNICACIÓN, , ,S,N,S,S, 
15,"BANSEFI,S.N.C",GERENTE MESA DE CONTROL,9,11,18,10,22,"SECTOR FINANCIERO, BANCA DE DESARROLLO",1,ELABORACIÓN Y ACTUALIZACIÓN DE MANUALES DE CRÉDITO,DESARROLLO DE CONTROLES PARA DISPOSICIONES DE RECURSOS MONETARIOS,SUPERVISIÓN DE CUMPLIMIENTO NORMATIVO EN LA ORIGINACIÓN DE CRÉDITO,ADMINISTRACIÓN DE EMPRESAS,CONTADURIA,FINANZAS, , , ,X, ,N, ,N, ,S, ,X,X,X,S,S, ,S,X,X,X, , , , , , , , , , ,S,5,S,S,S,S,N, , , ,5,5,4,4,4,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1, , , , ,S,S,BIZAGI, ,N, , , ,1,1,1,1,N,S,S,N,FALTA DE DEFINICIÓN DEL PERFIL DEL PUESTO CON EL CONOCIMIENTO DEL ASPIRANTE,"SE EJECUTAN ACTIVIDADES, PERO NO SE SABE PAR AQUÉ NI SU UMPORTANCIA",FALTA DE CONOCIMIENTOS TÉCNICOS DEL PUESTO PARA DESEMPEÑAR LA FUNCIÓN, ,S,N,S,S,"EL ASCENSO PROFESIONAL SE DA MÁS POR RELACIÓN POLÍTICA, QUE POR LA EXPERIENCIA EN LAS FUNCIONES Y CONOCIMIENTO."
16,HUSSMANN SERVICIOS S DE RL DE CV,GERENTE DE INSTALACIONES,8,11,18,21,0,"DISEÑO, FABRICACIÓN, INSTALACIÓN Y SERVICIO",2,VENTAS,SERVICIO,FINANZAS,ADMINISTRACIÓN,INGENIEROS,ACTUARIA, ,X, ,X, ,N, ,N, ,S, , ,X, ,S,N,0,S,X,X,X, , , , , , , , , , ,N,0,N,S,S,S,N, , , ,5,4,3,3,3,4,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1, ,0, ,0,S,S,EXCEL,MICROSOFT PROJECT,S,LENGUAJE C, , ,2,1,1,2,S,N,S,N,"CONTRATAMOS RECIÉN EGRESADOS PARA FORMACIÓN DE ACUERDO A PROCESOS,",PROCEDIMIENTOS Y CARACTERÍSTICAS DE LOS CLIENTES, , ,S,S,N,S, 
17,AT&T,GERENTE SECTOR COMPRAS,11,11,18,17,35,TELECOMUNACIONES,2,COMPRAS, , ,INGENIERÍA,ADMINISTRACIÓN, , ,X,X, ,X,N,0,N, ,N, , ,X, , ,N,0,S, ,X,X, , , , , , , , , , ,S,0,S,N,N,N,N, , , ,4,4,5,5,4,5,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2, ,0, ,0,S,N, , ,N, , , ,1,2,2,2,S,S,S,N,COMPROMISO,HABILIDAD PARA RESOLVER PROBLEMAS,INICIATIVA,INTERÉS POR APRENDER DÍA A DÍA,S,S,S,S, 
18,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,JEFE DE DEPARTAMENTO,11,11,18,17,50,ECONOMÍA PÚBLICA NACIONAL E INTERNACIONAL,1,RECAUDACIÓN DE IMPUESTOS,VALIDACIÓN DE USUARIOS,VISITAS A USUARIOS,ECONOMIA,ABOGADOS,ACTUARIA,X,X, ,X, ,N, ,N, ,S, , ,X, , ,S,8,N, ,X, , , , , , , , , , , ,S,1,N,N,S,S,N, , , ,5,5,4,4,4,5,3,1,3,2,2,3,2,2,1,2,1,3,2,1,2,1,LEGISLACIÓN TRIBUTARIA,3, , ,S,S,ACCESS, ,N, , , ,1,1,1,2,N,S,S,S,LEGISLACION EN MATERIA TRIBUTARIA Y ADUANERA, , , ,S,S,S,S,CUANDO EXISTE UNA VACANTE SE DA PRIORIDAD AL PERSONAL INTERNO
19,GNP,GERENTE,9,11,18,0,0,SEGUROS,2,CALCULO DE RESERVAS TECNICAS DEL RAMO DE AUTOS, , ,ACTUARIA,MATEMATICAS,INGENIERIA,X,X, ,X, ,N,0,N, ,N,X, , , ,S,N,0,N, , , , , , , , , , , , , ,N,0,S,S,S,S,S,UNAM,ITAM, ,3,5,3,4,3,5,3,1,1,3,1,2,2,1,1,2,2,1,1,2,2,1, ,0, ,0,S,N, , ,S,SQL,MACROS,SAS,2,1,1,2,N,S,S,N,INTELIGENCIA EMOCIONAL Y COMUNICACION,TRABAJO EN EQUIPO,PROGRAMACION, ,S,N,S,S,EL ENTREVISTADO NO PROPORCIONO DATOS DE CONTACTO Y ALGUNOS OTROS CAMPOS
20,MEDIACCESS SEGUROS DE SALUD,GERENTE PRODUCTOS Y SUSCRIPCION,8,11,18,12,31,SEGUROS DE SALUD,2,DESARROLLAR PRODUCTOS DE SEGUROS,TRAFICAR NEGOCIOS DE COLECTIVO,GENERAR ESTADISTICAS,ACTUARIA, , , ,X, , , ,S,30,N, ,S, , ,X, , ,S,8,S,X, , , , , , , , , , , , ,S,0,N,S,S,N,N, , , ,4,4,3,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, ,0, ,0,S,S,R, ,S,SQL, , ,2,2,1,2,S,S,N,N, , , , ,S,N,S,S, 
21,COMISIÓN NACIONAL DE SEGUROS Y FIANZAS,DIRECTOR DE VIGILANCIA DEL SEGURO DE PENSIONES Y SALUD,12,11,18,9,10,SUPERVISIÓN Y REGULACIÓN DE SEGUROS Y FIANZAS,1,SUPERVISAR CUMPLIMIENTO PASIVOS Y REQUERIMIENTOS,SUPERVISAR INFORMACIÓN REGULATORIA,REGISTRAR PRODUCTOS SEGUROS/METODOLOGÍAS,MATEMÁTICOS,ECONOMIA,CONTABILIDAD, , , , ,X,N, ,N, ,N, , ,X, ,N,N, ,S, ,X, , , , , , , , , , , ,N,0,S,N,S,N,S,UNAM,ITAM,UNIVERSIDAD MARISTA,3,4,2,4,3,3,2,2,2,1,3,3,3,1,1,2,2,1,3,1,3,2, , , , ,S,S,ACCESS,FOXPRO,N, , , ,1,1,1,1,S,N,S,N,REDACCIÓN, , , ,S,N,S,S,SE LLENÓ LA ENCUESTA EN BASE AL PUESTO TIPO OPERATIVO; LOS OTROS PUESTOS SON DEL SERVICIO PROFESIONAL DE CARRERA QUE EXIGEN MÁS REQUISITOS.
22,COMISIÓN NACIONAL DE SEFGUROS Y FIANZAS,DIRECTOR DE INSPECCIÓN DEL SEGURO DE PENSIONES Y SALUD,9,11,18,12,50,SUPERVISIÓN DEL SECTOR ASEGURADOR Y AFIANZADOR,1,REALIZAR INSPECCIÓN A LAS INSTITUCIONES,VERIFICAR QUE SEAN SOLVENTES,SE APEGUEN A LA LISF Y DEMÁS DISPOSICIONES,MATEMÁTICOS,ACTUARIA, , ,X, , , ,N, ,N, ,S, ,X,X, ,S,N, ,N, , , , , , , , , , , , , ,S,2,N,N,N,S,N, , , ,4,4,3,4,5,4,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2, , , , ,S,N, , ,S,FOX, , ,1,1,1,1,S,N,S,N,NO MOSTRARSE CON SENTIDO DE RESPONSABILIDAD,NO TENER ADECUADA PRESENTACIÓN, , ,S,N,N,S, 
23,VOTIA SISTEMAS DE INFORMACIÓN,DIRECTORA DE RECURSOS HUMANOS,9,11,18,11,15,ENCUESTAS Y ESTUDIOS DE MERCADO,2,ADMINISTRACIÓN GENERAL DE LA COMPAÑIA, , ,ACTUARIA,MATEMÁTICAS,INGENIEROS EN INFORMATICA,X, , , ,X,N, ,N, ,S,X,X, , ,N,N, ,N, , , , , , , , , , , , , ,S,3,N,N,S,S,N, , , ,3,4,3,4,3,5,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1, , , , ,S,N, , ,N, , , ,1,1,1,1,S,N,S,N,ADMINISTRATIVOS,SEGURIDAD PERSONAL, , ,N,N,N,N,"SON PUESTOS TEMPORALES, DEPENDIENDO DE LOS PROYECTOS A REALIZAR"
24,PENSIONISSSTE,JEFE DE SERVICIOS INSTR. ALTERNATIVOS,9,11,18,13,8,ADMINISTRACIÓN DE FONDOS PARA EL RETIRO,1,ANÁLISIS DE INSTRUMENTOS FINANCIEROS,VALUACIÓN DE PORTAFOLIOS,OPERACIÓN EN MERCADOS BURSÁTILES,ECONOMIA,FINANZAS,ACTUARIA, ,X, ,X,X,N, ,N, ,S,X,X,X, ,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,4,4,5,3,5,2,2,2,3,3,2,2,2,1,2,3,1,3,1,1,2, ,0, ,0,S,N, , ,N, , , ,1,1,1,2,S,S,S,S,MALA REDACCIÓN Y ORTOGRAFÍA,POCA PROFUNDIDAD TÉCNICA, , ,S,N,S,S, 
25,BANCO NACIONAL DE COMERCIO EXTERIOR,SUBDIRECTR RIESGS NO DISCREC Y GEST NORM,9,11,18,11,25,FINANCIAMIENTO Y SERVICIOS FINANCIEROS AL COMERCIO EXTERIOR,1,DISEÑO E IMPLEMENTACIÓN DE METODOLOGÍAS DE RIESGO,CÁLCULO DE REQUERIMIENTO DE CAPITAL POR RIESGO OPERACIONAL Y LEGAL,GESTIÓN DE RIESGO NO DISCRECIONAL Y NO CUANTIFICABLE,ACTUARIA,ECONOMIA,ADMINISTRACIÓN, ,X, ,X,X,N, ,N, ,S, , ,X, , ,N, ,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,4,4,3,5,3,1,2,2,2,3,3,2,1,2,3,3,1,2,2,3, , , , ,S,S,RISKSIMULATOR,MATLAB,S,JAVASCRIPT,SQL, ,3,3,3,3,S,S,S,S,NO CONTAR CON UN ENFOQUE HOLÍSTICO,DESCONOCIMIENTO DE LAS PRINCIPALES PROGRAMACIONES UTILIZADAS EN EL SECTOR,"DESCONOCIMIENTO DE ADMINISTRACIÓN DE PROYECTOS (SCRUM, PNBOOK)", ,S,S,S,S, 
26,PROMOCIÓN Y OPERACIÓN SA (PROSA),ADMINISTRADOR DE PROYECTOS ESTRATÉGICOS,11,11,18,20,0,MEDIOS DE PAGO,2,TECNOLOGÍAS DE LA INFORMACIÓN,CIBERSEGURIDAD,SOLUCIONES INFORMÁTICAS,INGENIERÍA EN SISTEMAS,ACTUARIA,LICENCIATURA EN INFORMÁTICA, ,X, ,X,X,N, ,N, ,N, , ,X,X,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,S,UNAM,IPN,ITESM,5,5,4,5,4,5,3,2,3,1,2,2,2,2,3,2,2,2,1,1,1,1, , , , ,S,S,VISIO,G SUITE,S,SQL,JAVA,UML,2,2,2,2,S,S,S,S,SENTIDO DE URGENCIA,COLABORACIÓN,INNOVACIÓN, ,S,N,S,S, 
28,HSBC,SUBDIRECTORA DE RIESGO,8,11,18, , ,BANCA,1,ELABORAR ESTRATEGIAS DE COBRANZA PARA TDC,MEDICIÓN DE LA RECUPERACION MENSUAL, ,MATEMATICAS APLICADAS,FINANZAS,ECONOMIA, ,X,X,X, ,N, ,N, ,S, ,X,X,X,N,N, ,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,S,ITAM,ANAHUAC, ,5,5,5,5,5,5,2,2,3,2,3,3,2,3,2,3,3,3,1,1,1,2, , , , ,S,S,SAS,R- STUDIO,S,C++,SAS, ,2,1,1,3,S,S,S,S,POCO MANEJO DE PAQUETERIA,FALTA DE EXPERIENCIA EN EL MANEJO DE BASES DE DATOS, , ,S,S,N,S, 
29,COMISION NACIONAL BANCARIA Y DE VALORES,SUBDIRECTORA DE AREA,7,11,18,0,0,SUPERVISAR Y REGULAR ENTIDADES DEL SISTEMA FINANCIERO,1,"VIGILANCIA, INSPECCION",AUTORIZACIONES, ,CONTADURIA,ADMINISTRACIÓN,ACTUARIA, ,X, ,X,X,N,0,N, ,N,X, ,X,X,S,N,0,S,X,X,X, , , , , , , , , , ,S,0,S,S,S,S,N, , , ,4,4,3,4,3,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,1,S,S,N,N, , , , ,S,S,S,S, 
30,COMISION NACIONAL BANCARIA Y DE VALORES,SUBDIRECTOR,7,11,18, , ,CUMPLIMIENTO NORMATICO,1,SUPERVISION DE ENTIDADES FINANCIERAS, , ,ECONOMIA,FINANZAS,ACTUARIA, ,X, , ,X,N, ,N, ,N,X, , , ,S,N, ,S, ,X, , , , , , , , , , , ,N,0,S,N,N,N,N, , , ,5,5,4,5,4,4,3,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1, , , , ,S,N, , ,N, , , ,1,1,1,2,S,S,S,N,ANALISIS FINANCIERO, , , ,N,N,N,S, 
31,MAPFRE MEXICO SA.,COORDINADOR DE SUSCRIPCION,9,11,18, , ,ASEGURADORA,1,COTIZACION DE FLOTILLAS,ANALISIS DE SINIESTRALIZACION,CREACION DE TARIFAS,ACTUARIA,MATEMATICAS APLICADAS,ECONOMIA, ,X,X, , ,N, ,N, ,N,X,X,X,X,S,N, ,N, , , , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,4,5,4,5,3,5,3,1,2,1,2,2,2,2,1,2,1,1,1,3,3,1, , , , ,S,N, , ,N, , , ,2,1,1,3,S,S,S,N,FALTA DE PROACTIVIDAD,BAJOS CONOCIMIENTOS DE EXCEL, , ,S,N,S,S, 
32,BANCO DE AHORRO NACIONAL Y SERVICIOS FIANCIEROS,DIRECTOR DE SEGUIMIENTO Y RECUPERACION,9,11,18,0,0,SECTOR DE AHORRO Y CREDITO,1,SEGUIMIENTO DE OPERACIONES Y CREDITO,SEGUIMIENTO DE LA RECUPERACION DE OPERACION DE OPERACIONES,MONITOREO DE ENTIDADES FINANCIERAS,ECONONICO- ADMINISTRATIVAS,MATEMATICAS,ACTUARIA, , , ,X, ,N, ,N, ,S, ,X,X, ,S,N,0,N, , , , , , , , , , , , , ,S,1,S,S,S,S,N, , , ,5,5,4,5,4,5,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1, ,0, ,0,S,N, , ,S,VISUAL BASIC, , ,1,1,1,2,S,N,S,N, , , , ,S,N,N,S, 
33,MANAGEMENT SOLUTIONS,GERENTE,8,11,18,9,0,CONSULTORIA,2,AUTOMATIZACION DE REPORTES,AUTOMATIZACION DE PROCESOS, ,INGIENERIAS,ACTUARIA,FISICOS MATEMATICOS, , , ,X,X,N,0,N, ,S,X,X,X, ,S,S,8.5,S,X,X, , , , , , , , , , , ,N,0,N,N,S,S,N, , , ,5,5,5,5,5,5,3,1,2,2,2,2,2,1,3,2,1,1,1,1,1,3, ,0, ,0,S,S, , ,S,PHYTON,SAS,R,3,2,2,3,S,S,S,S,MENOS CONVERSACION ESCRITA, , , ,S,S,S,S, 
34,BANORTE,DIRECTOR RIESGO CONTRAPARTE Y CVA,8,11,18,11,27,BANCA,2,PRICING DERIVADOS,CVA,RIESGOS FINANCIEROS,ACTUARIA,ECONOMIA,MATEMATICAS,X, , ,X,X,N, ,N, ,S,X, ,X, ,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,N,S,S,S,S,UNAM,ITAM,UDLA,5,5,5,5,5,5,3,1,2,3,3,3,3,3,2,3,3,2,1,1,1,3,CALCULO ESTOCASTICO,2, , ,S,S,MATLAB,EXCEL PROGRAMACION,S,PYTHON,MATLAB,R,3,2,2,1,N,S,S,S,POCO SENTIDO COMUN FINANCIERO,HABILIDADES GERENCIALES,COMUNICACION HUMANA,ORIENTACION A RESULTADOS,S,S,S,S, 
35,MANAGEMENT SOLUTIONS,RESPONSABLE RRHH MS MEXICO,9,11,18,10,17,CONSULTORIA PROFESIONAL,2,CAPACITACION Y RECLUTAMIENTO,DESEMPEÑO,TALENTO Y FORMACION,PSICOLOGIA,ADMIN DE EMPRESAS,DERECHO, ,X, ,X,X,S,27,N, ,N,X, ,X, ,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,N,N,S,S,N, , , ,4,4,3,3,4,5,2,1,3,3,3,3,3,3,1,2,2,1,2,1,1,2,GESTION DE PROYECTOS,2, , ,S,S,"SQL, PHYTON, R, C++","VISUAL BASIC, MATLAB",S,"SQL, PHYTON, R, C++","VISUAL BASIC, MATLAB, JAVA", ,3,2,3,3,S,S,N,S,NO COMPRENDEN EL SIGNIFICADO DE LOS RESULTADOS DE HERRAMIENTAS,"EL CONOCIMIENTO ES POCO PROFUNDO, MUY BASICO",NO TIENEN CONOCIMIENTO DE HERRAMIENTAS BIG DATA,POCO ENFOQUE HACIA NUEVAS TECNOLOGIAS,S,S,S,S, 
36,BANCO DE MEXICO,INVESTIGADOR,8,11,18,20,0,"POLITICA MONETARIA, CONTABILIDAD FINANCIERA",1,INVESTIGACION,POLITICA PUBLICA, ,ECONOMIA,FINANZAS,ACTUARIA, , , ,X,X,N, ,N, ,N,X,X,X, ,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,S,N, , , ,4,5,4,5,3,4,3,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2, , , , ,S,S,R, ,S,R,PHYTON, ,3,2,2,3,S,N,S,N,COMBINACION ENTRE PROGRAMACION Y ECONOMIA, , , ,N,N,N,N, 
